"","id","X","Y","Z","Spit","Level","Code"
"48","H18-67",119.625999450684,126.333000183105,25.4689998626709,"3","2","LITHIC"
"49","H18-68",119.597999572754,126.221000671387,25.4589996337891,"3","2","LITHIC"
"50","H18-69",119.638000488281,126.202003479004,25.4790000915527,"3","2","LITHIC"
"51","H18-70",119.640998840332,126.050003051758,25.4780006408691,"3","2","LITHIC"
"52","H18-71",119.639999389648,126.571998596191,25.4629993438721,"3","2","LITHIC"
"53","H18-73",119.214996337891,126.420997619629,25.4440002441406,"3","2","LITHIC"
"54","H18-74",119.865997314453,126.115997314453,25.4559993743896,"3","2","LITHIC"
"55","H18-75",119.904998779297,126.100997924805,25.4710006713867,"3","2","LITHIC"
"56","H18-76",119.707000732422,126.527000427246,25.4699993133545,"3","2","LITHIC"
"57","H18-77",119.686996459961,126.597999572754,25.4869995117188,"3","2","LITHIC"
"58","H18-78",119.791999816895,126.650001525879,25.5060005187988,"3","2","LITHIC"
"59","H18-80",119.778999328613,126.546997070312,25.4599990844727,"3","2","LITHIC"
"60","H18-81",119.717002868652,126.646003723145,25.4610004425049,"3","2","LITHIC"
"61","H18-82",119.708000183105,126.852996826172,25.4759998321533,"3","2","LITHIC"
"62","H18-83",119.774002075195,126.833999633789,25.4580001831055,"3","2","LITHIC"
"63","H18-84",119.80899810791,126.878997802734,25.4640007019043,"3","2","LITHIC"
"64","H18-86",119.919998168945,126.90599822998,25.4829998016357,"3","2","LITHIC"
"65","H18-87",119.258003234863,126.248001098633,25.4629993438721,"3","2","LITHIC"
"66","H18-88",119,126.890998840332,25.4209995269775,"4","2","LITHIC"
"67","H18-89",119.056999206543,126.888000488281,25.4050006866455,"4","2","LITHIC"
"68","H18-90",119.024002075195,126.347999572754,25.3959999084473,"4","2","LITHIC"
"69","H18-91",119.02799987793,126.182998657227,25.4409999847412,"4","2","LITHIC"
"70","H18-93",119.150001525879,126.914001464844,25.3840007781982,"4","2","LITHIC"
"71","H18-94",119.031997680664,126.838996887207,25.3780002593994,"4","2","LITHIC"
"72","H18-95",119.232002258301,126.869003295898,25.3999996185303,"4","2","LITHIC"
"73","H18-96",119.195999145508,126.797996520996,25.3920001983643,"4","2","LITHIC"
"74","H18-97",119.273002624512,126.727996826172,25.3959999084473,"4","2","LITHIC"
"75","H18-98",119.281997680664,126.599998474121,25.4039993286133,"4","2","LITHIC"
"76","H18-99",119.044998168945,126.388999938965,25.4120006561279,"4","2","LITHIC"
"77","H18-100",119.057998657227,126.339996337891,25.4309997558594,"4","2","LITHIC"
"78","H18-101",119.083999633789,126.337997436523,25.42799949646,"4","2","LITHIC"
"79","H18-102",119.016998291016,126.112998962402,25.4139995574951,"4","2","LITHIC"
"80","H18-103",119.199996948242,126.146003723145,25.4440002441406,"4","2","LITHIC"
"81","H18-104",119.44100189209,126.154998779297,25.5,"4","2","LITHIC"
"82","H18-105",119.458000183105,126.205001831055,25.4500007629395,"4","2","LITHIC"
"83","H18-107",119.360000610352,126.61799621582,25.4080009460449,"4","2","LITHIC"
"84","H18-108",119.373001098633,126.602996826172,25.3700008392334,"4","2","LITHIC"
"85","H18-109",119.362998962402,126.394996643066,25.3999996185303,"4","2","LITHIC"
"86","H18-110",119.28800201416,126.38200378418,25.3959999084473,"4","2","LITHIC"
"87","H18-111",119.09400177002,126.167999267578,25.4220008850098,"4","2","LITHIC"
"88","H18-112",119.142997741699,126.115997314453,25.4449996948242,"4","2","LITHIC"
"89","H18-113",119.045997619629,126.087997436523,25.4090003967285,"4","2","LITHIC"
"90","H18-115",119.48999786377,126.237998962402,25.4370002746582,"4","2","LITHIC"
"91","H18-116",119.501998901367,126.142997741699,25.4419994354248,"4","2","LITHIC"
"92","H18-117",119.285003662109,126.067001342773,25.4489994049072,"4","2","LITHIC"
"93","H18-118",119.387001037598,126.661003112793,25.3980007171631,"4","2","LITHIC"
