"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"812","H19-3721",119.387001037598,127.774002075195,23.9899997711182,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"813","H19-3721",119.387001037598,127.774002075195,23.9899997711182,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"814","H19-3725",119.220001220703,127.296997070312,23.9689998626709,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,3.2,0,0,0,"Nenhuma",NA,NA,NA,NA
"815","H19-3725",119.220001220703,127.296997070312,23.9689998626709,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"816","H19-3725",119.220001220703,127.296997070312,23.9689998626709,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,8,NA,NA
"817","H19-3730",119.634002685547,127.485000610352,24.003999710083,"5","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,46,0,0,0,"Nenhuma",NA,NA,NA,NA
"818","H19-3733",119.323997497559,127.514999389648,23.9759998321533,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,7,NA,NA
"819","H19-3733",119.323997497559,127.514999389648,23.9759998321533,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"820","H19-3734",119.698997497559,127.412002563477,23.9990005493164,"5","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,12,0,0,0,"Nenhuma",NA,NA,NA,NA
"821","H19-3736",119.810997009277,127.440002441406,24.0170001983643,"5","5","LITHIC","VB",TRUE,"LOT-316","Calcedonia","Fragmento",NA,NA,7,0,0,0,"Nenhuma",NA,NA,NA,NA
"822","H19-3737",119.93399810791,127.59700012207,24.0020008087158,"5","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Lasca",NA,"0%",16,12.55,33.37,29.95,"Nenhuma",NA,NA,NA,NA
"823","H19-3738",119.778999328613,127.580001831055,23.9589996337891,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"824","H19-3740",119.935997009277,127.84400177002,24.0189990997314,"5","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,70,0,0,0,"Nenhuma",NA,NA,NA,NA
"825","H19-3742",119.814002990723,127.66300201416,23.9669990539551,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,24.7,0,0,0,"Nenhuma",NA,NA,NA,NA
"826","H19-3742",119.814002990723,127.66300201416,23.9669990539551,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,5.8,0,0,0,"Nenhuma",NA,NA,NA,NA
"827","H19-3742",119.814002990723,127.66300201416,23.9669990539551,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,6,NA,NA
"828","H19-3742",119.814002990723,127.66300201416,23.9669990539551,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,36,NA,NA
"829","H19-3747",119.869003295898,127.167999267578,24.0359992980957,"5","5","LITHIC","VB",TRUE,"LOT-316","Silex","Produto alongado",NA,"0%",0,2.15,3.71,13.87,"Nenhuma",NA,NA,NA,NA
"830","H19-3748",119.907997131348,127.254997253418,24.0750007629395,"5","5","LITHIC","VB",TRUE,"LOT-316","Silex","Fragmento",NA,NA,4,0,0,0,"Nenhuma",NA,NA,NA,NA
"831","H19-3751",119.688003540039,127.212997436523,23.9930000305176,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Lasca",NA,"0%",0.9,2.65,12.74,17.26,"Nenhuma",NA,NA,NA,NA
"832","H19-3751",119.688003540039,127.212997436523,23.9930000305176,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,2.9,0,0,0,"Nenhuma",NA,NA,NA,NA
"833","H19-3751",119.688003540039,127.212997436523,23.9930000305176,"5","5","BUCKET","VB",TRUE,"LOT-317","Outro","Fragmento",NA,NA,2.6,0,0,0,"Nenhuma",NA,NA,NA,"Arenito"
"834","H19-3751",119.688003540039,127.212997436523,23.9930000305176,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
